Name,Date,Close,Open,High,Low,Vol.,Change%
FTSE100,2019-01-15,6895.02,6855.02,6910.45,6849.63,708580000,0.0058
FTSE100,2019-01-14,6855.02,6918.18,6918.21,6841.74,704570000,-0.0091
FTSE100,2019-01-11,6918.18,6942.87,7001.94,6902.65,701510000,-0.0036
FTSE100,2019-01-10,6942.87,6906.63,6948.18,6860.82,630320000,0.0052
FTSE100,2019-01-09,6906.63,6861.6,6938.31,6861.6,887290000,0.0066
FTSE100,2019-01-08,6861.6,6810.88,6901.48,6804.89,672100000,0.0074
FTSE100,2019-01-07,6810.88,6837.42,6874.11,6778.01,759330000,-0.0039
FTSE100,2019-01-04,6837.42,6692.66,6850.37,6692.5,658880000,0.0216
FTSE100,2019-01-03,6692.66,6734.23,6753.14,6685.09,694920000,-0.0062
FTSE100,2019-01-02,6734.23,6728.13,6753.29,6599.48,633240000,0.0009
FTSE100,2018-12-31,6728.13,6733.97,6752.54,6718.32,232270000,-0.0009
FTSE100,2018-12-28,6733.97,6584.68,6742.48,6584.68,515160000,0.0227
FTSE100,2018-12-27,6584.68,6685.99,6728.49,6536.53,608360000,-0.0152
FTSE100,2018-12-24,6685.99,6721.17,6721.17,6661.04,198770000,-0.0052
FTSE100,2018-12-21,6721.17,6711.93,6733,6653.65,0,0.0014
FTSE100,2018-12-20,6711.93,6765.94,6765.94,6646.45,929570000,-0.008
FTSE100,2018-12-19,6765.94,6701.59,6785.16,6698.15,777370000,0.0096
FTSE100,2018-12-18,6701.59,6773.24,6773.24,6701.59,880780000,-0.0106
FTSE100,2018-12-17,6773.24,6845.17,6845.17,6761.38,734720000,-0.0105
FTSE100,2018-12-14,6845.17,6877.5,6877.5,6788.65,736010000,-0.0047
FTSE100,2018-12-13,6877.5,6880.19,6908.48,6848.98,757820000,-0.0004
FTSE100,2018-12-12,6880.19,6806.94,6902.19,6806.94,0,0.0108
FTSE100,2018-12-11,6806.94,6721.54,6857.58,6721.54,867260000,0.0127
FTSE100,2018-12-10,6721.54,6778.11,6815.84,6719.17,891070000,-0.0083
FTSE100,2018-12-07,6778.11,6704.05,6868.27,6704.05,845320000,0.011
FTSE100,2018-12-06,6704.05,6921.84,6921.84,6673.57,0,-0.0315
FTSE100,2018-12-05,6921.84,7022.76,7028.65,6921.84,813440000,-0.0144
FTSE100,2018-12-04,7022.76,7062.41,7095.01,7002.71,844630000,-0.0056
FTSE100,2018-12-03,7062.41,6980.24,7145.49,6980.24,891140000,0.0118
FTSE100,2018-11-30,6980.24,7038.95,7042.07,6965.6,0,-0.0083
FTSE100,2018-11-29,7038.95,7004.52,7078.37,7004.52,797790000,0.0049
FTSE100,2018-11-28,7004.52,7016.85,7057.03,6987.25,825360000,-0.0018
FTSE100,2018-11-27,7016.85,7036,7043.7,6983.98,855620000,-0.0027
FTSE100,2018-11-26,7036,6952.86,7050.96,6952.86,826830000,0.012
FTSE100,2018-11-23,6952.86,6960.32,6987.53,6912.3,707660000,-0.0011
FTSE100,2018-11-22,6960.32,7050.23,7050.43,6944.95,786800000,-0.0128
FTSE100,2018-11-21,7050.23,6947.92,7058.56,6947.92,864500000,0.0147
FTSE100,2018-11-20,6947.92,7000.89,7010.1,6904.21,851710000,-0.0076
FTSE100,2018-11-19,7000.89,7013.88,7070.46,6997.83,800440000,-0.0019
FTSE100,2018-11-16,7013.88,7038.01,7092.44,6968.99,0,-0.0034
FTSE100,2018-11-15,7038.01,7033.79,7081.88,6979.57,0,0.0006
FTSE100,2018-11-14,7033.79,7053.76,7113.59,6979.68,953790000,-0.0028
FTSE100,2018-11-13,7053.76,7053.08,7103.97,7016.64,0,0.0001
FTSE100,2018-11-12,7053.08,7105.34,7186.31,7053.08,730620000,-0.0074
FTSE100,2018-11-09,7105.34,7140.68,7140.68,7070.8,672890000,-0.0049
FTSE100,2018-11-08,7140.68,7117.28,7171.69,7115.01,697800000,0.0033
FTSE100,2018-11-07,7117.28,7040.68,7136.75,7040.68,698980000,0.0109
FTSE100,2018-11-06,7040.68,7103.84,7117.5,7027.45,666520000,-0.0089
FTSE100,2018-11-05,7103.84,7094.12,7140.37,7077.4,570490000,0.0014
FTSE100,2018-11-02,7094.12,7114.66,7196.39,7094.12,824950000,-0.0029
FTSE100,2018-11-01,7114.66,7128.1,7165.61,7085.74,0,-0.0019
FTSE100,2018-10-31,7128.1,7035.85,7161.54,7035.85,923080000,0.0131
FTSE100,2018-10-30,7035.85,7026.32,7060.06,6983.68,774720000,0.0014
FTSE100,2018-10-29,7026.32,6939.56,7085.88,6939.56,804710000,0.0125
FTSE100,2018-10-26,6939.56,7004.1,7004.16,6851.59,803060000,-0.0092
FTSE100,2018-10-25,7004.1,6962.98,7004.1,6885.99,853930000,0.0059
FTSE100,2018-10-24,6962.98,6955.21,7049.83,6955.21,797990000,0.0011
FTSE100,2018-10-23,6955.21,7042.8,7042.8,6928.65,0,-0.0124
FTSE100,2018-10-22,7042.8,7049.8,7114.12,7042.05,806700000,-0.001
FTSE100,2018-10-19,7049.8,7026.99,7070.38,7012.56,800350000,0.0032
FTSE100,2018-10-18,7026.99,7054.6,7078.76,7026.74,692860000,-0.0039
FTSE100,2018-10-17,7054.6,7059.4,7089.03,7019.41,707140000,-0.0007
FTSE100,2018-10-16,7059.4,7029.22,7062.08,6998.93,786100000,0.0043
FTSE100,2018-10-15,7029.22,6995.91,7038.23,6961.28,674960000,0.0048
FTSE100,2018-10-12,6995.91,7006.93,7073.99,6994.78,903680000,-0.0016
FTSE100,2018-10-11,7006.93,7145.74,7145.74,6998.02,0,-0.0194
FTSE100,2018-10-10,7145.74,7237.59,7242.31,7145.74,0,-0.0127
FTSE100,2018-10-09,7237.59,7233.33,7247.64,7184.28,789690000,0.0006
FTSE100,2018-10-08,7233.33,7318.54,7319.84,7233.33,695800000,-0.0116
FTSE100,2018-10-05,7318.54,7418.34,7421.12,7318.54,758630000,-0.0135
FTSE100,2018-10-04,7418.34,7510.28,7510.28,7411.31,826760000,-0.0122
FTSE100,2018-10-03,7510.28,7474.55,7524.06,7474.55,849120000,0.0048
FTSE100,2018-10-02,7474.55,7495.67,7495.67,7444.8,843120000,-0.0028
FTSE100,2018-10-01,7495.67,7510.2,7526.2,7466.67,746180000,-0.0019
FTSE100,2018-09-28,7510.2,7545.44,7548.36,7474.67,943920000,-0.0047
FTSE100,2018-09-27,7545.44,7511.49,7552.02,7490.94,666220000,0.0045
FTSE100,2018-09-26,7511.49,7507.56,7522.06,7490.2,693150000,0.0005
FTSE100,2018-09-25,7507.56,7458.41,7515.94,7455.22,791700000,0.0066
FTSE100,2018-09-24,7458.41,7490.23,7491.25,7450.53,710210000,-0.0042
FTSE100,2018-09-21,7490.23,7367.32,7495.26,7367.32,0,0.0167
FTSE100,2018-09-20,7367.32,7331.12,7368.43,7324.01,891660000,0.0049
FTSE100,2018-09-19,7331.12,7300.23,7346.11,7279.92,785950000,0.0042
FTSE100,2018-09-18,7300.23,7302.1,7320.07,7281.98,722030000,-0.0003
FTSE100,2018-09-17,7302.1,7304.04,7318.77,7267.83,640190000,-0.0003
FTSE100,2018-09-14,7304.04,7281.57,7323.83,7281.57,595140000,0.0031
FTSE100,2018-09-13,7281.57,7313.36,7319.57,7275.14,681150000,-0.0043
FTSE100,2018-09-12,7313.36,7273.54,7325.25,7250.84,698110000,0.0055
FTSE100,2018-09-11,7273.54,7279.3,7280.48,7220.5,664030000,-0.0008
FTSE100,2018-09-10,7279.3,7277.7,7307.85,7256.51,717860000,0.0002
FTSE100,2018-09-07,7277.7,7318.96,7328.3,7227.07,889090000,-0.0056
FTSE100,2018-09-06,7318.96,7383.28,7397.74,7313.12,743690000,-0.0087
FTSE100,2018-09-05,7383.28,7457.86,7457.86,7357.98,792990000,-0.01
FTSE100,2018-09-04,7457.86,7504.6,7535.12,7437.65,672990000,-0.0062
FTSE100,2018-09-03,7504.6,7432.42,7516.06,7432.18,468850000,0.0097
FTSE100,2018-08-31,7432.42,7516.03,7516.46,7428.67,838070000,-0.0111
FTSE100,2018-08-30,7516.03,7563.21,7563.21,7497.54,642440000,-0.0062
FTSE100,2018-08-29,7563.21,7617.22,7635.74,7545.08,709980000,-0.0071
FTSE100,2018-08-28,7617.22,7577.49,7636.72,7577.49,603830000,0.0052
FTSE100,2018-08-24,7577.49,7563.22,7587.19,7557.67,523570000,0.0019
FTSE100,2018-08-23,7563.22,7574.24,7602.1,7560.85,592640000,-0.0015
FTSE100,2018-08-22,7574.24,7565.7,7607.23,7531.24,630160000,0.0011
FTSE100,2018-08-21,7565.7,7591.26,7601.65,7557.34,560350000,-0.0034
FTSE100,2018-08-20,7591.26,7558.59,7616.15,7558.59,576840000,0.0043
FTSE100,2018-08-17,7558.59,7556.38,7577.68,7514.26,621370000,0.0003
FTSE100,2018-08-16,7556.38,7497.87,7565.18,7497.87,795280000,0.0078
FTSE100,2018-08-15,7497.87,7611.64,7632.07,7477.05,994260000,-0.0149
FTSE100,2018-08-14,7611.64,7642.45,7665.24,7599.66,787260000,-0.004
FTSE100,2018-08-13,7642.45,7667.01,7667.33,7614.48,612150000,-0.0032
FTSE100,2018-08-10,7667.01,7741.77,7741.77,7657.72,684690000,-0.0097
FTSE100,2018-08-09,7741.77,7776.65,7776.77,7714.52,582940000,-0.0045
FTSE100,2018-08-08,7776.65,7718.48,7790.17,7707.3,621150000,0.0075
FTSE100,2018-08-07,7718.48,7663.78,7752.08,7663.2,696340000,0.0071
FTSE100,2018-08-06,7663.78,7659.1,7681.86,7636.6,838430000,0.0006
FTSE100,2018-08-03,7659.1,7575.93,7665.16,7575.93,670040000,0.011
FTSE100,2018-08-02,7575.93,7652.91,7652.91,7549.34,0,-0.0101
FTSE100,2018-08-01,7652.91,7748.76,7751.1,7634.66,0,-0.0124
FTSE100,2018-07-31,7748.76,7700.85,7782.9,7695.76,943370000,0.0062
FTSE100,2018-07-30,7700.85,7701.31,7718.06,7659.91,755660000,-0.0001
FTSE100,2018-07-27,7701.31,7663.17,7717.22,7663.16,788380000,0.005
FTSE100,2018-07-26,7663.17,7658.26,7684.72,7640.94,607060000,0.0006
FTSE100,2018-07-25,7658.26,7709.05,7710.25,7640.59,698480000,-0.0066
FTSE100,2018-07-24,7709.05,7655.79,7740.64,7648.59,878890000,0.007
FTSE100,2018-07-23,7655.79,7678.79,7678.79,7621.75,591250000,-0.003
FTSE100,2018-07-20,7678.79,7683.97,7705.8,7631.66,706250000,-0.0007
FTSE100,2018-07-19,7683.97,7676.28,7702.85,7660.02,716900000,0.001
FTSE100,2018-07-18,7676.28,7626.33,7685.68,7625.75,671520000,0.0065
FTSE100,2018-07-17,7626.33,7600.45,7641.1,7581.83,746770000,0.0034
FTSE100,2018-07-16,7600.45,7661.87,7667.71,7564.96,608960000,-0.008
FTSE100,2018-07-13,7661.87,7651.33,7716.24,7651.33,592170000,0.0014
FTSE100,2018-07-12,7651.33,7591.96,7662.96,7591.96,769260000,0.0078
FTSE100,2018-07-11,7591.96,7692.04,7692.04,7578.18,816820000,-0.013
FTSE100,2018-07-10,7692.04,7687.99,7715.07,7677.06,723210000,0.0005
FTSE100,2018-07-09,7687.99,7617.7,7697.46,7617.7,697510000,0.0092
FTSE100,2018-07-06,7617.7,7603.22,7631.19,7569.7,684000000,0.0019
FTSE100,2018-07-05,7603.22,7573.09,7624.82,7572.69,631120000,0.004
FTSE100,2018-07-04,7573.09,7593.29,7593.29,7560.81,591920000,-0.0027
FTSE100,2018-07-03,7593.29,7547.85,7632.12,7544.98,0,0.006
FTSE100,2018-07-02,7547.85,7636.93,7636.93,7540.71,802390000,-0.0117
FTSE100,2018-06-29,7636.93,7615.63,7706.64,7615.63,926730000,0.0028
FTSE100,2018-06-28,7615.63,7621.69,7632.17,7576.01,815210000,-0.0008
FTSE100,2018-06-27,7621.69,7537.92,7633.92,7512.03,0,0.0111
FTSE100,2018-06-26,7537.92,7509.84,7564.05,7509.84,0,0.0037
FTSE100,2018-06-25,7509.84,7682.27,7682.27,7508.32,815820000,-0.0224
FTSE100,2018-06-22,7682.27,7556.44,7689.44,7556.2,738420000,0.0167
FTSE100,2018-06-21,7556.44,7627.4,7670.78,7548.12,801610000,-0.0093
FTSE100,2018-06-20,7627.4,7603.85,7705.2,7603.85,870100000,0.0031
FTSE100,2018-06-19,7603.85,7631.33,7631.33,7548.84,921290000,-0.0036
FTSE100,2018-06-18,7631.33,7633.91,7645.47,7601.6,683910000,-0.0003
FTSE100,2018-06-15,7633.91,7765.79,7781,7633.91,0,-0.017
FTSE100,2018-06-14,7765.79,7703.71,7793.45,7650.16,0,0.0081
FTSE100,2018-06-13,7703.71,7703.81,7746.7,7677.17,877980000,0
FTSE100,2018-06-12,7703.81,7737.43,7762.77,7701.33,797690000,-0.0043
FTSE100,2018-06-11,7737.43,7681.07,7756.02,7681.07,758830000,0.0073
FTSE100,2018-06-08,7681.07,7704.4,7714.32,7637.52,778850000,-0.003
FTSE100,2018-06-07,7704.4,7712.37,7756.66,7698.15,0,-0.001
FTSE100,2018-06-06,7712.37,7686.8,7730.48,7671.62,909670000,0.0033
FTSE100,2018-06-05,7686.8,7741.29,7744.46,7686.61,962540000,-0.007
FTSE100,2018-06-04,7741.29,7701.77,7772.12,7701.7,743520000,0.0051
FTSE100,2018-06-01,7701.77,7678.2,7746.73,7678.2,807700000,0.0031
FTSE100,2018-05-31,7678.2,7689.57,7727.45,7651.12,0,-0.0015
FTSE100,2018-05-30,7689.57,7632.64,7689.57,7618.12,950540000,0.0075
FTSE100,2018-05-29,7632.64,7730.28,7730.28,7610.66,0,-0.0126
FTSE100,2018-05-25,7730.28,7716.74,7753.32,7703.26,852470000,0.0018
FTSE100,2018-05-24,7716.74,7788.44,7803.45,7716.74,917820000,-0.0092
FTSE100,2018-05-23,7788.44,7877.45,7877.45,7765.32,944430000,-0.0113
FTSE100,2018-05-22,7877.45,7859.17,7903.5,7854.58,829870000,0.0023
FTSE100,2018-05-21,7859.17,7778.79,7868.12,7778.12,713100000,0.0103
FTSE100,2018-05-18,7778.79,7787.97,7791.41,7753.27,927550000,-0.0012
FTSE100,2018-05-17,7787.97,7734.2,7788.23,7713.85,802620000,0.007
FTSE100,2018-05-16,7734.2,7722.98,7745.53,7717.76,959900000,0.0015
FTSE100,2018-05-15,7722.98,7710.98,7752.02,7687.49,0,0.0016
FTSE100,2018-05-14,7710.98,7724.55,7727.96,7688.57,772860000,-0.0018
FTSE100,2018-05-11,7724.55,7700.97,7728.89,7691.69,754160000,0.0031
FTSE100,2018-05-10,7700.97,7662.52,7706.87,7631.58,901480000,0.005
FTSE100,2018-05-09,7662.52,7565.75,7662.52,7565.75,918680000,0.0128
FTSE100,2018-05-08,7565.75,7567.14,7598.51,7550.44,896880000,-0.0002
FTSE100,2018-05-04,7567.14,7502.69,7570.22,7502.69,886340000,0.0086
FTSE100,2018-05-03,7502.69,7543.2,7555.18,7492.39,745260000,-0.0054
FTSE100,2018-05-02,7543.2,7520.36,7572.98,7519.62,855110000,0.003
FTSE100,2018-05-01,7520.36,7509.3,7549.07,7506.57,584610000,0.0015
FTSE100,2018-04-30,7509.3,7502.21,7546.16,7497.11,0,0.0009
FTSE100,2018-04-27,7502.21,7421.43,7507.12,7421.28,773110000,0.0109
FTSE100,2018-04-26,7421.43,7379.32,7421.43,7355,839860000,0.0057
FTSE100,2018-04-25,7379.32,7425.4,7427.13,7334.64,906770000,-0.0062
FTSE100,2018-04-24,7425.4,7398.87,7439.58,7397.29,862030000,0.0036
FTSE100,2018-04-23,7398.87,7368.17,7404.11,7359.73,799460000,0.0042
FTSE100,2018-04-20,7368.17,7328.92,7368.17,7323.31,792270000,0.0054
FTSE100,2018-04-19,7328.92,7317.34,7340.73,7309.42,811860000,0.0016
FTSE100,2018-04-18,7317.34,7226.05,7325.59,7226.05,904180000,0.0126
FTSE100,2018-04-17,7226.05,7198.2,7240.41,7189.85,735880000,0.0039
FTSE100,2018-04-16,7198.2,7264.56,7265.83,7195.46,889300000,-0.0091
FTSE100,2018-04-13,7264.56,7258.34,7274.99,7249.07,677120000,0.0009
FTSE100,2018-04-12,7258.34,7257.14,7266.64,7240.76,687150000,0.0002
FTSE100,2018-04-11,7257.14,7266.75,7270.28,7243.32,789650000,-0.0013
FTSE100,2018-04-10,7266.75,7194.75,7266.75,7194.75,778170000,0.01
FTSE100,2018-04-09,7194.75,7183.64,7209.68,7145.57,691580000,0.0015
FTSE100,2018-04-06,7183.64,7199.5,7214.02,7163.11,676290000,-0.0022
FTSE100,2018-04-05,7199.5,7034.01,7199.5,7034.01,819220000,0.0235
FTSE100,2018-04-04,7034.01,7030.46,7046.26,6971.75,818650000,0.0005
FTSE100,2018-04-03,7030.46,7056.61,7064.98,6996.76,814720000,-0.0037
FTSE100,2018-03-29,7056.61,7044.74,7109.93,7042.73,900250000,0.0017
FTSE100,2018-03-28,7044.74,7000.14,7044.74,6923.33,785930000,0.0064
FTSE100,2018-03-27,7000.14,6888.69,7042.37,6888.69,712080000,0.0162
FTSE100,2018-03-26,6888.69,6921.94,6958.47,6866.94,788730000,-0.0048
FTSE100,2018-03-23,6921.94,6952.59,6952.82,6876.96,906200000,-0.0044
FTSE100,2018-03-22,6952.59,7038.97,7038.97,6914.45,887620000,-0.0123
FTSE100,2018-03-21,7038.97,7061.27,7065.66,7016.79,785550000,-0.0032
FTSE100,2018-03-20,7061.27,7042.93,7081.5,7042.6,764830000,0.0026
FTSE100,2018-03-19,7042.93,7164.14,7164.19,7034.91,750730000,-0.0169
FTSE100,2018-03-16,7164.14,7139.76,7187.27,7131.31,0,0.0034
FTSE100,2018-03-15,7139.76,7132.69,7162.58,7127.08,833050000,0.001
FTSE100,2018-03-14,7132.69,7138.78,7176.51,7122.76,775440000,-0.0009
FTSE100,2018-03-13,7138.78,7214.76,7224.13,7125.6,790450000,-0.0105
FTSE100,2018-03-12,7214.76,7224.51,7254.87,7198.18,631270000,-0.0013
FTSE100,2018-03-09,7224.51,7203.24,7225.28,7189.74,671260000,0.003
FTSE100,2018-03-08,7203.24,7157.84,7212.14,7145.7,734710000,0.0063
FTSE100,2018-03-07,7157.84,7146.75,7180.71,7109.56,889060000,0.0016
FTSE100,2018-03-06,7146.75,7115.98,7197.8,7115.6,810450000,0.0043
FTSE100,2018-03-05,7115.98,7069.9,7119.21,7062.13,956920000,0.0065
FTSE100,2018-03-02,7069.9,7175.64,7175.64,7063.42,938590000,-0.0147
FTSE100,2018-03-01,7175.64,7231.91,7231.91,7153.39,886340000,-0.0078
FTSE100,2018-02-28,7231.91,7282.45,7293.36,7231.91,948410000,-0.0069
FTSE100,2018-02-27,7282.45,7289.58,7326.02,7272.87,740360000,-0.001
FTSE100,2018-02-26,7289.58,7244.41,7312.98,7244.31,603890000,0.0062
FTSE100,2018-02-23,7244.41,7252.39,7262.05,7220.81,695740000,-0.0011
FTSE100,2018-02-22,7252.39,7281.57,7281.57,7187.76,952980000,-0.004
FTSE100,2018-02-21,7281.57,7246.77,7291.8,7220.55,930800000,0.0048
FTSE100,2018-02-20,7246.77,7247.66,7264.78,7202.14,699560000,-0.0001
FTSE100,2018-02-19,7247.66,7294.7,7306.21,7239.98,520050000,-0.0064
FTSE100,2018-02-16,7294.7,7234.81,7307.97,7234.81,671910000,0.0083
FTSE100,2018-02-15,7234.81,7213.97,7267.96,7206.69,770030000,0.0029
FTSE100,2018-02-14,7213.97,7168.01,7243.15,7145.73,969400000,0.0064
FTSE100,2018-02-13,7168.01,7177.06,7202.99,7165.83,740990000,-0.0013
FTSE100,2018-02-12,7177.06,7092.43,7199.93,7092.43,737670000,0.0119
FTSE100,2018-02-09,7092.43,7170.69,7170.69,7073.03,955730000,-0.0109
FTSE100,2018-02-08,7170.69,7279.42,7279.42,7161.31,0,-0.0149
FTSE100,2018-02-07,7279.42,7141.4,7311.5,7141.4,0,0.0193
FTSE100,2018-02-06,7141.4,7334.98,7334.98,7079.41,0,-0.0264
FTSE100,2018-02-05,7334.98,7443.43,7443.43,7334.79,916490000,-0.0146
FTSE100,2018-02-02,7443.43,7490.39,7494.76,7432.25,898530000,-0.0063
FTSE100,2018-02-01,7490.39,7533.55,7554.73,7476.51,899490000,-0.0057
FTSE100,2018-01-31,7533.55,7587.98,7599.01,7521.77,907200000,-0.0072
FTSE100,2018-01-30,7587.98,7671.53,7671.67,7587.12,823710000,-0.0109
FTSE100,2018-01-29,7671.53,7665.54,7689.15,7663.93,631880000,0.0008
FTSE100,2018-01-26,7665.54,7615.84,7667.4,7615.84,735670000,0.0065
FTSE100,2018-01-25,7615.84,7643.43,7662.35,7608.53,735310000,-0.0036
FTSE100,2018-01-24,7643.43,7731.83,7731.98,7643.43,769850000,-0.0114
FTSE100,2018-01-23,7731.83,7715.44,7745.22,7710.03,765380000,0.0021
FTSE100,2018-01-22,7715.44,7730.79,7739.35,7703.67,752610000,-0.002
FTSE100,2018-01-19,7730.79,7700.96,7731.82,7694.66,820000000,0.0039
FTSE100,2018-01-18,7700.96,7725.43,7739.54,7683.71,789200000,-0.0032
FTSE100,2018-01-17,7725.43,7755.93,7755.93,7711.11,847950000,-0.0039
FTSE100,2018-01-16,7755.93,7769.14,7791.83,7740.55,849620000,-0.0017
FTSE100,2018-01-15,7769.14,7778.64,7783.61,7763.43,568970000,-0.0012
FTSE100,2018-01-12,7778.64,7762.94,7792.56,7752.63,0,0.002
FTSE100,2018-01-11,7762.94,7748.51,7768.96,7734.64,0,0.0019
FTSE100,2018-01-10,7748.51,7731.02,7756.11,7716.21,885660000,0.0023
FTSE100,2018-01-09,7731.02,7696.51,7733.12,7696.5,728230000,0.0045
FTSE100,2018-01-08,7696.51,7724.22,7733.39,7691.77,654440000,-0.0036
FTSE100,2018-01-05,7724.22,7695.88,7727.73,7689.81,655710000,0.0037
FTSE100,2018-01-04,7695.88,7671.11,7702.51,7671.11,727690000,0.0032
FTSE100,2018-01-03,7671.11,7648.1,7689.86,7640.53,589340000,0.003
FTSE100,2018-01-02,7648.1,7687.77,7691.34,7624.14,594070000,-0.0052
FTSE100,2017-12-29,7687.77,7622.88,7697.62,7620.01,298180000,0.0085
FTSE100,2017-12-28,7622.88,7620.68,7633.55,7609.77,321520000,0.0003
FTSE100,2017-12-27,7620.68,7592.66,7632.71,7586.42,472510000,0.0037
FTSE100,2017-12-22,7592.66,7603.98,7614.4,7585.47,251370000,-0.0015
FTSE100,2017-12-21,7603.98,7525.22,7609.69,7517.88,640560000,0.0105
FTSE100,2017-12-20,7525.22,7544.09,7550.6,7511.45,679710000,-0.0025
FTSE100,2017-12-19,7544.09,7537.01,7563.49,7534.08,695720000,0.0009
FTSE100,2017-12-18,7537.01,7490.57,7544.26,7490.57,585560000,0.0062
FTSE100,2017-12-15,7490.57,7448.12,7490.57,7433.78,0,0.0057
FTSE100,2017-12-14,7448.12,7496.51,7496.7,7448.12,924060000,-0.0065
FTSE100,2017-12-13,7496.51,7500.41,7510.77,7492.58,0,-0.0005
FTSE100,2017-12-12,7500.41,7453.48,7501.52,7448.31,0,0.0063
FTSE100,2017-12-11,7453.48,7393.96,7458.4,7393.58,933600000,0.008
FTSE100,2017-12-08,7393.96,7320.75,7412.21,7314.23,0,0.01
FTSE100,2017-12-07,7320.75,7348.03,7371.73,7314.6,823880000,-0.0037
FTSE100,2017-12-06,7348.03,7327.5,7369.71,7289.36,692980000,0.0028
FTSE100,2017-12-05,7327.5,7338.97,7373.9,7326.57,903630000,-0.0016
FTSE100,2017-12-04,7338.97,7300.49,7369.65,7300.49,768160000,0.0053
FTSE100,2017-12-01,7300.49,7326.67,7355.43,7288.73,865250000,-0.0036
FTSE100,2017-11-30,7326.67,7393.56,7416.26,7326.67,0,-0.009
FTSE100,2017-11-29,7393.56,7460.65,7460.65,7386.67,0,-0.009
FTSE100,2017-11-28,7460.65,7383.9,7469.61,7373.95,946120000,0.0104
FTSE100,2017-11-27,7383.9,7409.64,7438.39,7383.9,656440000,-0.0035
FTSE100,2017-11-24,7409.64,7417.24,7425.19,7389.54,561890000,-0.001
FTSE100,2017-11-23,7417.24,7419.02,7422.73,7373.31,577460000,-0.0002
FTSE100,2017-11-22,7419.02,7411.34,7460.91,7410.38,859390000,0.001
FTSE100,2017-11-21,7411.34,7389.46,7422.18,7367.86,753290000,0.003
FTSE100,2017-11-20,7389.46,7380.68,7397.39,7350.37,738280000,0.0012
FTSE100,2017-11-17,7380.68,7386.94,7406.53,7356.16,731960000,-0.0008
FTSE100,2017-11-16,7386.94,7372.61,7393.28,7368.14,926680000,0.0019
FTSE100,2017-11-15,7372.61,7414.42,7415.09,7357.06,919470000,-0.0056
FTSE100,2017-11-14,7414.42,7415.18,7436.57,7396.92,0,-0.0001
FTSE100,2017-11-13,7415.18,7432.99,7469.3,7402.95,759790000,-0.0024
FTSE100,2017-11-10,7432.99,7484.1,7500.29,7421.73,694700000,-0.0068
FTSE100,2017-11-09,7484.1,7529.72,7532.2,7476.89,860710000,-0.0061
FTSE100,2017-11-08,7529.72,7513.11,7534.49,7504.77,807970000,0.0022
FTSE100,2017-11-07,7513.11,7562.28,7582.85,7507.83,747480000,-0.0065
FTSE100,2017-11-06,7562.28,7560.35,7572.9,7544.2,632910000,0.0003
FTSE100,2017-11-03,7560.35,7555.32,7580.95,7541.91,672310000,0.0007
FTSE100,2017-11-02,7555.32,7487.96,7562.26,7478.88,0,0.009
FTSE100,2017-11-01,7487.96,7493.08,7532.36,7487.96,0,-0.0007
FTSE100,2017-10-31,7493.08,7487.81,7516.85,7483.97,730560000,0.0007
FTSE100,2017-10-30,7487.81,7505.03,7507.02,7478.41,749410000,-0.0023
FTSE100,2017-10-27,7505.03,7486.5,7520.76,7485.24,870030000,0.0025
FTSE100,2017-10-26,7486.5,7447.21,7488.26,7440.11,0,0.0053
FTSE100,2017-10-25,7447.21,7526.54,7528.46,7437.42,922390000,-0.0105
FTSE100,2017-10-24,7526.54,7524.45,7535.22,7508.5,676610000,0.0003
FTSE100,2017-10-23,7524.45,7523.23,7542,7511.77,565830000,0.0002
FTSE100,2017-10-20,7523.23,7523.04,7560.04,7517.07,752950000,0
FTSE100,2017-10-19,7523.04,7542.87,7542.87,7485.42,828890000,-0.0026
FTSE100,2017-10-18,7542.87,7516.17,7555.24,7516.17,645750000,0.0036
FTSE100,2017-10-17,7516.17,7526.97,7550.44,7506.31,0,-0.0014
FTSE100,2017-10-16,7526.97,7535.44,7557,7526.73,738060000,-0.0011
FTSE100,2017-10-13,7535.44,7556.24,7556.24,7521.09,686920000,-0.0028
FTSE100,2017-10-12,7556.24,7533.81,7565.11,7526.33,722800000,0.003
FTSE100,2017-10-11,7533.81,7538.27,7550.17,7519.6,0,-0.0006
FTSE100,2017-10-10,7538.27,7507.89,7543.88,7504.56,821710000,0.004
FTSE100,2017-10-09,7507.89,7522.87,7523.65,7493.68,695850000,-0.002
FTSE100,2017-10-06,7522.87,7507.99,7527.72,7507.99,694720000,0.002
FTSE100,2017-10-05,7507.99,7467.58,7507.99,7464.4,775860000,0.0054
FTSE100,2017-10-04,7467.58,7468.11,7476.33,7456.61,945110000,-0.0001
FTSE100,2017-10-03,7468.11,7438.84,7469.82,7426.67,718750000,0.0039
FTSE100,2017-10-02,7438.84,7372.76,7438.84,7372.73,891030000,0.009
FTSE100,2017-09-29,7372.76,7322.82,7382.67,7321.64,750780000,0.0068
FTSE100,2017-09-28,7322.82,7313.51,7323.33,7289.75,748360000,0.0013
FTSE100,2017-09-27,7313.51,7285.74,7327.5,7285.74,857130000,0.0038
FTSE100,2017-09-26,7285.74,7301.29,7311.82,7273.32,707670000,-0.0021
FTSE100,2017-09-25,7301.29,7310.64,7312.45,7272.49,601760000,-0.0013
FTSE100,2017-09-22,7310.64,7263.9,7320.28,7242.23,644900000,0.0064
